config_id,status,config.n_layers,config.n_units,config.preprocessor,config.smooth,config.smote,config.ultrasample,config.wfo,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.test_score,result.info_dict.train_time
18,complete,2.0,5.0,minmax,False,True,False,True,1731299067.0123122,1731299064.377281,-1.0,1.0,1.0058369636535645
17,complete,2.0,5.0,minmax,False,False,False,True,1731299064.251193,1731299061.942662,-1.0,1.0,0.7260560989379883
23,complete,3.0,6.0,minmax,False,True,False,True,1731299081.492485,1731299079.280577,-0.25,0.25,0.6036767959594727
3,complete,2.0,5.0,normalize,False,False,False,False,1731298975.6833851,1731298973.606884,-0.0,0.0,0.5533361434936523
27,complete,2.0,5.0,minmax,False,False,True,True,1731299099.158852,1731299090.2048619,-0.0,0.0,7.284719944000244
20,complete,3.0,5.0,minmax,False,True,False,True,1731299073.186222,1731299070.236792,-0.0,0.0,1.3352909088134766
16,complete,3.0,4.0,normalize,False,False,True,False,1731299061.815754,1731299052.791001,-0.0,0.0,7.456341981887817
29,complete,2.0,5.0,robust,True,True,True,False,1731299110.535278,1731299101.5602822,-0.0,0.0,7.303496837615967
11,complete,2.0,5.0,normalize,False,True,True,False,1731299017.2332852,1731299008.321368,-0.0,0.0,7.339905738830566
2,complete,4.0,3.0,minmax,False,False,True,False,1731298973.6039019,1731298965.493181,-0.0,0.0,6.606442928314209
5,complete,3.0,5.0,robust,False,True,True,False,1731298987.310082,1731298978.5411808,-0.0,0.0,7.2433857917785645
28,complete,2.0,5.0,maxabs,False,False,False,True,1731299101.430836,1731299099.28814,-0.0,0.0,0.508634090423584
14,complete,2.0,5.0,robust,False,False,True,False,1731299044.149277,1731299035.048061,-0.0,0.0,7.523431062698364
13,complete,2.0,4.0,normalize,False,False,True,False,1731299034.924074,1731299025.957407,-0.0,0.0,7.414833068847656
25,complete,2.0,5.0,minmax,False,True,False,False,1731299087.21391,1731299084.478357,-0.0,0.0,1.1446809768676758
22,complete,4.0,6.0,robust,False,True,False,True,1731299079.148203,1731299076.103667,-0.0,0.0,1.4115979671478271
24,complete,2.0,5.0,standardize,False,True,False,False,1731299084.349588,1731299081.620725,-0.0,0.0,1.1296048164367676
12,complete,3.0,3.0,normalize,False,False,True,False,1731299025.776593,1731299017.356024,-0.0,0.0,6.8776021003723145
15,complete,2.0,5.0,normalize,False,False,True,True,1731299052.663317,1731299044.273313,-0.0,0.0,6.734516859054565
8,complete,2.0,6.0,normalize,False,False,True,False,1731299002.4030988,1731298993.260842,-0.0,0.0,7.588634252548218
30,complete,4.0,3.0,minmax,False,False,False,True,1731299113.1303182,1731299110.66595,-0.0,0.0,0.8314759731292725
6,complete,5.0,4.0,robust,False,False,False,True,1731298990.2863958,1731298987.3132439,-0.0,0.0,1.4225959777832031
1,complete,3.0,6.0,normalize,False,True,False,False,1731298965.489675,1731298962.633075,-0.0,0.0,1.3061537742614746
7,complete,3.0,4.0,minmax,False,False,False,True,1731298993.257401,1731298990.2899132,-0.0,0.0,1.2858929634094238
21,complete,2.0,5.0,maxabs,False,True,False,False,1731299075.9715111,1731299073.321005,-0.0,0.0,1.0246150493621826
26,complete,2.0,5.0,normalize,False,True,False,True,1731299090.0749671,1731299087.342525,-0.0,0.0,1.131227970123291
9,complete,4.0,6.0,normalize,True,False,False,False,1731299005.2955048,1731299002.406837,0.25,-0.25,1.3427391052246094
4,complete,2.0,6.0,normalize,False,False,False,False,1731298978.5374851,1731298975.687142,0.25,-0.25,1.3073558807373047
19,complete,2.0,5.0,minmax,True,True,False,True,1731299070.1102028,1731299067.148581,0.25,-0.25,1.3006649017333984
10,complete,4.0,4.0,standardize,False,False,False,False,1731299008.193621,1731299005.299005,0.25,-0.25,1.3525340557098389
